Autauga 	1001	(255,141,100)
Baldwin 	1003	(255,239,242)
Barbour 	1005	(255,143,188)
Bibb 	1007	(255,239,252)
Blount 	1009	(255,167,24)
Bullock 	1011	(255,141,150)
Butler 	1013	(255,234,152)
Calhoun 	1015	(255,253,148)
Chambers 	1017	(255,161,200)
Cherokee 	1019	(255,239,132)
Chilton 	1021	(255,141,50)
Choctaw 	1023	(255,181,40)
Clarke 	1025	(255,239,22)
Clay 	1027	(255,254,202)
Cleburne 	1029	(255,255,96)
Coffee 	1031	(255,242,64)
Colbert 	1033	(255,140,46)
Conecuh 	1035	(255,141,240)
Coosa 	1037	(255,141,40)
Covington 	1039	(255,153,88)
Crenshaw 	1041	(255,141,170)
Cullman 	1043	(255,140,126)
Dale 	1045	(255,142,44)
Dallas 	1047	(255,253,218)
DeKalb 	1049	(255,239,152)
Elmore 	1051	(255,232,154)
Escambia 	1053	(255,244,142)
Etowah 	1055	(255,140,86)
Fayette 	1057	(255,239,192)
Franklin 	1059	(255,255,196)
Geneva 	1061	(255,142,54)
Greene 	1063	(255,254,212)
Hale 	1065	(255,166,60)
Henry 	1067	(255,239,162)
Houston 	1069	(255,240,46)
Jackson 	1071	(255,255,66)
Jefferson 	1073	(255,253,248)
Lamar 	1075	(255,239,212)
Lauderdale 	1077	(255,169,162)
Lawrence 	1079	(255,254,232)
Lee 	1081	(255,254,12)
Limestone 	1083	(255,160,36)
Lowndes 	1085	(255,242,244)
Macon 	1087	(255,241,10)
Madison 	1089	(255,255,206)
Marengo 	1091	(255,141,80)
Marion 	1093	(255,254,162)
Marshall 	1095	(255,234,172)
Mobile 	1097	(255,142,14)
Monroe 	1099	(255,254,22)
Montgomery 	1101	(255,254,82)
Morgan 	1103	(255,248,148)
Perry 	1105	(255,255,156)
Pickens 	1107	(255,239,122)
Pike 	1109	(255,253,98)
Randolph 	1111	(255,254,192)
Russell 	1113	(255,221,40)
Saint Clair 	1115	(255,230,166)
Shelby 	1117	(255,236,20)
Sumter 	1119	(255,244,252)
Talladega 	1121	(255,141,10)
Tallapoosa 	1123	(255,141,30)
Tuscaloosa 	1125	(255,140,206)
Walker 	1127	(255,241,150)
