Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"507.37 (499.60, 514.90)","468.10 (460.74, 475.17)","410.43 (403.72, 417.33)","384.09 (377.41, 390.91)","349.75 (343.46, 356.26)","298.31 (292.81, 304.05)","257.23 (251.82, 262.70)","252.70 (247.12, 258.27)","-50.20 (-50.82, -49.55)"
Alabama,1,"516.87 (508.36, 524.93)","485.17 (477.42, 493.18)","436.61 (429.10, 444.50)","414.45 (406.84, 422.16)","397.40 (389.49, 405.04)","352.09 (344.74, 359.36)","310.55 (303.87, 317.53)","310.59 (303.44, 317.77)","-39.91 (-40.97, -38.84)"
"Autauga County, Alabama",1001,"552.68 (521.37, 586.71)","523.12 (492.13, 551.59)","470.30 (444.14, 496.02)","437.74 (415.23, 459.66)","413.92 (393.16, 432.92)","368.83 (350.83, 387.85)","316.82 (299.06, 333.37)","316.36 (298.73, 334.72)","-42.76 (-47.26, -37.68)"
"Baldwin County, Alabama",1003,"445.67 (423.09, 467.49)","419.28 (400.00, 438.89)","379.58 (362.44, 396.83)","357.73 (342.10, 374.22)","333.18 (319.09, 347.23)","308.99 (296.42, 322.99)","279.98 (268.54, 291.74)","272.04 (260.19, 284.03)","-38.96 (-42.73, -34.94)"
"Barbour County, Alabama",1005,"515.53 (484.52, 547.21)","468.71 (443.66, 493.54)","417.73 (395.64, 440.17)","387.08 (367.47, 405.98)","364.29 (345.57, 384.22)","301.04 (283.89, 318.38)","264.63 (249.05, 280.85)","255.09 (238.51, 271.82)","-50.52 (-54.72, -45.98)"
"Bibb County, Alabama",1007,"548.69 (513.57, 584.89)","532.76 (502.47, 564.74)","484.34 (458.91, 511.22)","491.84 (467.39, 519.91)","463.34 (438.49, 488.92)","409.25 (386.63, 432.58)","374.27 (352.26, 398.64)","378.09 (353.16, 402.74)","-31.09 (-37.21, -24.74)"
"Blount County, Alabama",1009,"473.26 (445.19, 501.18)","451.88 (427.17, 474.87)","412.63 (392.46, 434.06)","399.31 (379.72, 419.29)","378.91 (360.42, 397.14)","347.79 (328.51, 366.27)","307.45 (291.00, 324.49)","307.90 (290.88, 324.10)","-34.94 (-40.33, -29.47)"
"Bullock County, Alabama",1011,"597.64 (555.84, 641.51)","554.67 (519.24, 593.32)","489.31 (459.57, 521.64)","473.94 (444.52, 504.17)","441.62 (412.91, 472.45)","391.51 (363.95, 419.49)","344.74 (319.25, 373.49)","322.56 (296.51, 350.16)","-46.03 (-51.20, -40.25)"
"Butler County, Alabama",1013,"550.37 (519.15, 581.58)","521.27 (493.19, 550.45)","480.51 (456.12, 504.77)","476.14 (451.13, 500.24)","448.95 (426.85, 472.58)","422.02 (398.50, 446.04)","377.33 (353.65, 400.78)","382.55 (357.04, 408.16)","-30.49 (-36.39, -24.17)"
"Calhoun County, Alabama",1015,"537.99 (515.77, 561.47)","499.67 (478.00, 522.44)","460.70 (440.16, 480.47)","447.25 (428.63, 464.88)","451.62 (433.02, 470.81)","414.93 (397.79, 430.78)","371.19 (354.86, 386.76)","368.25 (352.75, 385.64)","-31.55 (-35.51, -26.97)"
"Chambers County, Alabama",1017,"485.45 (459.33, 511.69)","469.38 (446.43, 495.43)","421.35 (399.95, 442.91)","415.96 (394.92, 437.61)","400.87 (380.15, 422.49)","366.22 (347.51, 386.16)","329.55 (312.85, 348.26)","326.33 (307.48, 345.66)","-32.78 (-37.71, -27.36)"
